word1,op1,word2,op2,word3,skipgram_ns_word,skipgram_hs_word,cbow_ns_word,cbow_hs_word
clarinet,+,amusing,-,orne,upbeat,sideshow,bulimia,inocybe
keir,+,currently,-,blinded,ecosoc,geoffroy,lory,usually
reels,+,laramie,-,buddhism,midseason,rpm,outlived,bradford
sis,+,cheating,-,transition,sycorax,mcconaughey,latifah,lansdowne
predynastic,+,asociación,-,epigenetic,catania,kunda,prudential,quadrupled
membered,+,refraction,-,rifles,xy,lithium,renditions,tutored
toro,+,washed,-,rivière,spun,functionally,drastically,achieved
carthaginians,+,elections,-,manual,accords,philippines,poqomam,hydrology
fennel,+,tonight,-,flotilla,kimmel,birdman,idealist,techno
algal,+,.69,-,sturgeon,aerobic,2307,mcguirk,hugged
tenet,+,compositing,-,plagues,cavanagh,adrianne,blackened,parlor
sergio,+,advertising,-,ties,carpenter,koichi,hussein,hd
mountainous,+,communicated,-,riverbed,inundated,pelted,816,keeping
'oyly,+,fungi,-,gleaner,'amore,'amore,plata,'antoni
according,+,600,-,charlatan,000,500,838,900
guianan,+,funds,-,fathers,canadair,ordinate,decimal,zollingeri
sprinkled,+,1256,-,rupture,bandcamp,813,seppi,parkstone
valkyrie,+,drunkenness,-,mumford,entanglement,oratorio,lauding,oratorio
zhuge,+,polymorpha,-,quails,meng,ācārya,wchl,unharmed
chajoma,+,scialfa,-,function,levente,estranged,koc,thornycroft
league,+,rubble,-,theory,deptford,frisco,finals,mll
attending,+,reclassified,-,patents,attended,reelected,classed,characterised
despuig,+,nursed,-,egyptians,spearing,kelsey,defenseless,reminding
inflammation,+,newsday,-,4800,screams,elegance,figment,dreamt
epsom,+,brian,-,modems,johns,ives,whiteside,mycologist
absentia,+,stoddart,-,internees,hayworth,everett,sidmouth,hooligans
primus,+,authoritative,-,above,silvetti,expressiveness,sorcery,hitomi
cutaways,+,benznidazole,-,avoids,nagachandra,haploid,bevato,micronesia
arrowhead,+,kubisch,-,californium,tailback,wittenberg,closures,showgirl
toni,+,enefit,-,imprecise,tintagel,riau,84th,spill
bras,+,bannermen,-,rave,marketplaces,amendments,forgo,frs
oblivious,+,paddle,-,domini,curled,backward,subdivided,gunner
family,+,phantoms,-,adolf,capsules,braces,sealing,forehead
đorđević,+,bishopric,-,withdrawing,contactmusic.com,pornography,usury,carapace
gaveston,+,pisa,-,lakselv,ponsonby,neill,babyface,huginn
rehearsals,+,dorn,-,m6,edgecombe,liszt,fabae,papeete
reforming,+,snooker,-,deen,mozambican,leveraged,lxxvi,accolades
archive,+,grandidier,-,dre,puranic,stonework,microscopically,tun
sharpe,+,superpowers,-,courchevel,fiancé,pam,splendidly,alleging
296,+,jumbled,-,bologna,nox,050,joliot,46
mail,+,inferred,-,undercut,deduced,mirror,breakfast,morphs
968,+,packers,-,duality,sv,234,016,investigate
butt,+,extracts,-,commemorations,jelly,slime,ominous,hetman
jarrars,+,horrors,-,jellyfish,chairmanship,rebuilding,brunt,evangelicals
shirtless,+,assailed,-,degesch,flirting,vo,autosomal,posttraumatic
janković,+,kline,-,pisa,massimo,nit,lisbon,unconstitutional
recoil,+,kiosks,-,talkin,kiviter,547,juba,1216
giorgio,+,concurrently,-,evanescence,273,along,mc,affiliated
foliot,+,imagination,-,amongst,rationale,mcclure,excessively,fez
cassie,+,sagittarius,-,shahrbaraz,archetype,stylized,swissair,stuffed
forbidding,+,malnutrition,-,mitchells,stricter,supplementary,sejmiks,bris
birkerts,+,toulon,-,airline,scurvy,wurz,hokstad,herodotus
fractious,+,butai,-,branca,helgoland,retaking,tuileries,jewels
heady,+,transverse,-,alsace,bulkheads,flashlight,approximant,booster
zoo,+,contests,-,dramas,basel,toxteth,resolving,stake
bail,+,affable,-,vrb,proudly,acrimonious,crediting,ilan
ss,+,np3,-,interestingly,og,stol,prehensile,proyecto
3s,+,timeframe,-,partook,wheelbase,cul,amx,blacklist
griffiths,+,abiding,-,jokingly,czechoslovak,armstrongs,scraps,hulked
crescendo,+,hyperactive,-,organizer,depressing,resounding,acronym,ploy
939,+,1736,-,misread,1721,591,702,anabolism
replenishment,+,workstations,-,treble,streetcars,labuan,stockport,divination
selections,+,cantata,-,soloists,preseason,telecast,unveiling,setup
nme,+,wru,-,harrington,informer,condolences,70th,visuals
amanda,+,scots,-,musson,theologian,beaumont,waltham,tomita
vibration,+,manna,-,kidnappings,barometer,rpt,sulfates,depress
vaults,+,nerf,-,removing,schweizerische,magdalene,hangover,amulet
bilbao,+,sony,-,deduction,emi,intertoto,lowther,hampton
extensive,+,bramwith,-,bryan,residual,catastrophic,horsburgh,endings
75,+,creswick,-,charming,81,81,berkley,85
sidi,+,tear,-,oxendine,evaporation,particulate,hauls,hydrides
gaba,+,rapidity,-,newsreels,xylem,chagrin,equinoxes,potency
kotche,+,retraced,-,pileggi,horsforth,viacom,southend,denies
determined,+,confidence,-,stout,legitimacy,decisions,lightened,succeeded
frenetic,+,antioch,-,ijn,ronny,dreary,sketchy,wax
avoided,+,glut,-,canisters,denounced,bovine,mignola,dog
banca,+,palms,-,duress,malls,technion,formulation,scenery
inventors,+,brilliantly,-,phish,terminology,sexualized,cried,n.y.
pandey,+,71,-,papery,69,157,corvus,628
drury,+,implacably,-,signatories,clough,mérite,gascoigne,wisteria
understandable,+,kancelled,-,hoot,insane,tainted,exquisitely,y
ass,+,téa,-,931,edgy,countenance,hantzopoulos,incredible
twisted,+,greenlit,-,espionage,brittle,orchestrated,vainly,overshadowed
compels,+,eaa,-,antónio,sterigma,contrary,mendelian,calculate
malloy,+,carapace,-,davisville,schecter,lesson,fiend,bit
markets,+,infective,-,lourdes,environments,improvements,vevo,curtains
lautner,+,flyer,-,tangible,dupont,opéra,pawnees,chippewa
malfunctioning,+,theo,-,østfold,midler,plunkett,blending,concede
tartar,+,enabled,-,cawston,propelled,tbsa,mechanically,pledged
synoptic,+,peeled,-,vamp,monsoonal,gradually,nobunaga,benadir
valerie,+,tur,-,regular,drea,émile,laurie,nematodes
tremayne,+,mcelroy,-,gabrielle,randle,goaltender,jayne,en
dial,+,finalist,-,rig,outta,pinch,sparsely,discredited
heroin,+,then,-,clairvaux,slowly,eventually,cpl,eventually
preview,+,hooley,-,kartheiser,omnibus,encyclopedia,activates,parable
steamboats,+,auto,-,shelters,beaux,xii,couriers,maroney
chartered,+,inactivity,-,stds,redevelopment,takeover,issuance,seceded
disrupts,+,basile,-,propagation,nuzman,mbda,tread,e.g
hotspot,+,kohala,-,monopolised,ganges,sonics,protégés,dutchman
compose,+,æthelwealh,-,bnsf,impress,bleed,betrothed,gallagher
shrink,+,scialfa,-,protrude,doubtless,relegated,dreamed,debut
wrangler,+,ipc,-,affectionate,luge,finnish,derwent,320th
cantharellus,+,towers,-,flexed,tunnels,wandoo,cws,counting
emphasised,+,sakanaction,-,lilies,disliked,heralded,rebates,affects
dunkirk,+,channeling,-,dougherty,undefended,emanating,canandaigua,tumble
allowed,+,1158,-,throated,objected,outdoors,eastgate,2000
hornberger,+,581,-,antithesis,1341,meisneri,militaries,ihp
brentford,+,hermann,-,conan,kjerringvik,1630,suzume,resent
trousers,+,establishes,-,persian,revisits,treats,ruthless,relive
henning,+,loa,-,ajg,josephus,wie,outraged,coe
pubic,+,3b,-,rcsi,obstructive,weed,kelp,grind
controversially,+,flagstaff,-,invertebrate,reno,fram,astounded,croydon
disappearance,+,rpgs,-,key,detractors,humiliation,liberation,otranto
abaft,+,marco,-,purported,fausto,gripen,munnetra,6th
elated,+,potomac,-,ostracized,huai,barada,councilors,wildebeest
scabrella,+,disappointment,-,qualities,laricina,telmatiaea,smarts,programmable
781,+,choirmaster,-,curry,caf,nahiya,lafford,weightlifting
opinion,+,aboriginals,-,1100,morality,perception,sakanaction,dispatch
carefully,+,yeager,-,lesson,pummeling,rmm,dhalia,bergmann
ambushes,+,călinescu,-,bison,mcleod,inexplicably,yelawolf,mandana
anzac,+,ruggiero,-,ruthin,panzergrenadier,castellu,grob,witwatersrand
superstition,+,agathosmus,-,gartner,hispanica,metabolism,purre,hooijdonk
feynman,+,fourths,-,gagged,pseudo,kava,cqc,holm
caterpillar,+,taaramäe,-,militarily,hokage,cfl,rotations,1387
whitaker,+,tis,-,libel,cie,í,sulphate,a1a
normandy,+,mohareb,-,is,louisbourg,africaine,1381,saxony
okinawan,+,romanus,-,evolving,flambard,pettit,ruyloba,waxy
sprinter,+,allentown,-,korea,bromley,mt,supplanted,toast
augusto,+,generations,-,covenants,alexandru,ludwig,shigeru,courses
pre-,+,sol,-,183rd,occidente,palsy,ruter,oriente
mersa,+,lesbians,-,depict,priok,clarice,medúlla,mapes
way,+,alkan,-,gabon,meyerbeer,promise,overshadowed,choice
provisioned,+,beet,-,committeeman,downy,porous,sworn,topical
usaaf,+,shiloh,-,road,reille,occupation,oswaldkirk,cuvier
cold,+,conch,-,injected,choppy,goose,brickwork,benito
jacob,+,nightmarish,-,corrosion,burghardt,dani,diabolus,futterman
biochemical,+,709,-,belloni,petrol,generating,papua,142
alga,+,marker,-,kromer,chromosome,nymph,embedding,janitor
hue,+,revolt,-,scarcely,bloc,milwaukee,regulament,numerator
attends,+,mackinnon,-,covent,gwin,shepp,humanized,dome
kaur,+,bag,-,corresponding,womanizer,mhatre,mcguinness,tupac
hypothetical,+,tisdale,-,loaded,siregar,forensic,sis,cousy
sign,+,krasnyi,-,abram,breach,exert,untreated,escrivá
boulder,+,invite,-,testified,stabilize,assemble,await,respiratory
winslow,+,inquisition,-,guidelines,arrondissement,toc,49th,nucleolus
sonja,+,crossland,-,corset,bjørn,asin,blaue,hoyos
ahsan,+,lenses,-,polytheistic,hypnotic,johanna,mgysgt,vig
730,+,shamanism,-,chavez,425,877,984,ipecac
cang,+,fjord,-,feliz,kuroishi,inner,ardennes,skirmishing
sarcophilus,+,1582,-,search,dasyatis,1416,mikey,nj
witchcraft,+,bonn,-,approximants,archaeology,banyumas,offaly,notions
shaw,+,glottis,-,reveals,boustany,elric,whereabouts,unsettled
full,+,brennan,-,strut,allingham,wever,overflowed,generating
vicki,+,heath,-,quiney,roe,kitty,pranks,numismatists
secunda,+,heights,-,lambing,novi,negev,pampas,bagpipes
shiban,+,bottas,-,nichols,vokoun,mouton,nunney,jima
sperrle,+,contrast,-,surprising,eduard,doha,guiana,ofsted
